date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:03	39472/39472	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c0e340-9a30%22	https://www.cambiumnetworks.com/wp-content/themes/cambium-networks/assets/images/svg/product-finder_button.svg	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/themes/cambium-networks/assets/images/svg/product-finder_button.svg	(from https://www.cambiumnetworks.com/)
11:20:04	160313/160313	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:04%20GMT	https://www.cambiumnetworks.com/service-providers/broadband-service-provider/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/service-providers/broadband-service-provider/index.html	(from https://www.cambiumnetworks.com/)
11:20:05	37164/37164	---MCZ	200	added ('OK')	text/css	etag:W/%22621e76c2-912c%22	https://www.cambiumnetworks.com/wp-content/plugins/kadence-blocks/dist/blocks/row.style.build.css?ver=2.2.10	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/plugins/kadence-blocks/dist/blocks/row.style.build8ce6.css	(from https://www.cambiumnetworks.com/)
11:20:06	161404/161404	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:05%20GMT	https://www.cambiumnetworks.com/service-providers/managed-service-provider/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/service-providers/managed-service-provider/index.html	(from https://www.cambiumnetworks.com/)
11:20:06	161622/161622	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:06%20GMT	https://www.cambiumnetworks.com/service-providers/mobile-network-operator/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/service-providers/mobile-network-operator/index.html	(from https://www.cambiumnetworks.com/)
11:20:06	99729/99729	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:06%20GMT	https://channel.cambiumnetworks.com/	/Users/anirbanbanerjee/websites/cn/channel.cambiumnetworks.com/index.html	(from https://www.cambiumnetworks.com/)
11:20:06	150573/150573	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:06%20GMT	https://www.cambiumnetworks.com/service-providers/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/service-providers/index.html	(from https://www.cambiumnetworks.com/)
11:20:07	27028/27028	---M--	200	added ('OK')	image/png	etag:%2261d6fbf5-7315%22	https://www.cambiumnetworks.com/wp-content/uploads/logo-al-cartagena-2022-500x133.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/logo-al-cartagena-2022-500x133.png	(from https://www.cambiumnetworks.com/)
11:20:08	307977/307977	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:08%20GMT	https://www.cambiumnetworks.com/product-finder/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/product-finder/index.html	(from https://www.cambiumnetworks.com/)
11:20:08	298810/298810	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:08%20GMT	https://www.cambiumnetworks.com/products/backhaul/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/products/backhaul/index.html	(from https://www.cambiumnetworks.com/)
11:20:08	178805/178805	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:08%20GMT	https://www.cambiumnetworks.com/point-to-multipoint-fixed-wireless-broadband/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/point-to-multipoint-fixed-wireless-broadband/index.html	(from https://www.cambiumnetworks.com/)
11:20:08	241754/241754	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:08%20GMT	https://www.cambiumnetworks.com/enterprise-wi-fi-switching/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/enterprise-wi-fi-switching/index.html	(from https://www.cambiumnetworks.com/)
11:20:09	437/437	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d62a82-1b5%22	https://www.cambiumnetworks.com/wp-content/themes/cambium-networks/assets/images/svg/logo-facebook.svg	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/themes/cambium-networks/assets/images/svg/logo-facebook.svg	(from https://www.cambiumnetworks.com/)
